POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,25,Marvin Musquin,"Corona, CA",KTM 450 SX-F Factory Edit,27 Laps,0:46.080,"RED BULL, KTM, MOTOREX, AKRAPOVIC, DUNLOP"
2,94,Ken Roczen,"Clermont, FL",Honda CRF 450,2.361,0:45.967,"TEAM HONDA HRC, FOX RACING, RED BULL, STANCE, BREITLING, CANYON BICYCLES, ART OF SPORT"
3,3,Eli Tomac,"Cortez, CO",Kawasaki KX 450,7.407,0:45.961,MONSTER ENERGY KAWASAKI
4,2,Cooper Webb,"Newport, NC",KTM 450 SX-F Factory Edit,8.673,0:46.354,"RED BULL, KTM, MOTOREX, AKRAPOVIC, DUNLOP"
5,17,Joey Savatgy,"Tallahassee, FL",Kawasaki KX 450,17.291,0:46.259,MONSTER ENERGY KAWASAKI
6,15,Dean Wilson,"Clermont, FL",Husqvarna FC450,19.910,0:46.701,Rockstar Energy Husqvarna Factory Racing
7,4,Blake Baggett,"Grand Terrace, CA",KTM 450 SX-F Factory Edit,23.324,0:45.980,Rocky Mountain ATV/MC - KTM - WPS
8,16,Zach Osborne,"Abingdon, VA",Husqvarna FC450,34.986,0:46.593,Rockstar Energy Husqvarna Factory Racing
9,14,Cole Seely,"Sherman Oaks, CA",Honda CRF 450,36.024,0:46.352,Team Honda HRC
10,43,Tyler Bowers,"Lake Elsinore, CA",Kawasaki KX 450,49.229,0:46.901,Triggr Racing/Blud Lubricants/AHM Factory Services/Kawasaki
11,19,Justin Bogle,"Cushing, OK",KTM 450 SX-F Factory Edit,26 Laps,0:47.405,Rocky Mountain ATV/MC - KTM - WPS
12,46,Justin Hill,"Yoncalla, OR",Suzuki RM-Z450,15.386,0:47.905,Jgrmx/Yoshimura/Suzuki Factory Racing
13,800,Mike Alessi,"Hilliard, FL",Honda CRF 450,25 Laps,0:48.463,Smartop Bullfrog Spas Honda GDR Fox
14,41,Ben Lamay,"Anchorage, AK",Honda CRF 450,13.242,0:48.716,TPJ/Fly Racing/DSC Construction/LBeardsleycpa/Xbrand/RTS inc/Racetech/Gaerne/Evs/GET data/Bills Pipe/Devol/Neken/Ogio/Dubya
15,805,Carlen Gardner,"Paso Robles, CA",Honda CRF 450,24.444,0:49.041,"BWR, L - Tec , SSI Decals"
16,62,Alex Ray,"Milan, TN",Suzuki RM-Z450,27.925,0:49.142,H.E.P. Motorsports Suzuki/Thor/Mayhem Wheels/Redline Oil
17,51,Justin Barcia,"Greenville, FL",Yamaha YZ450F,40.938,0:49.336,MONSTER ENERGY-YAMAHA FACTORY RACING
18,99,Austin Politelli,"Murrieta, CA",Honda CRF 450,24 Laps,0:49.650,TPJ Fly Racing/HRT/BK Tree Service/DSC Construction/California Coast Plumbers/Carls Cycles/Gamache Landscaping/Karcher/Lucas Oil/Pirelli/Rekluse/Engine Ice/Acerbis/Magik Graphics/Galfer/Torc 1 Racing
19,11,Kyle Chisholm,"Valrico, FL",Suzuki RM-Z450,14.414,0:49.499,H.E.P. Motorsports Suzuki/Mayhem Wheels/Thor/Redline Oil
20,86,Ryan Breece,"Athol, ID",Yamaha YZ450F,20 Laps,0:52.205,Cycle Trader Rock River YAMAHA
21,10,Justin Brayton,"Mint Hill, NC",Honda CRF 450,DNS,,Smartop Bullfrog Spas Honda
22,22,Chad Reed,"Dade City, FL",Suzuki RM-Z450,DNS,,Jgrmx/Yoshimura/Factory Suzuki Racing
