POS.,#,RIDER,HOMETOWN,BIKE,M1,M2,M3,POINTS,TEAM/SPONSORS
1,3,Eli Tomac,"Cortez, CO",Kawasaki KX 450,1,1,6,26,MONSTER ENERGY KAWASAKI
2,2,Cooper Webb,"Newport, NC",KTM 450 SX-F Factory Edit,6,2,1,23,"RED BULL, KTM, MOTOREX, AKRAPOVIC, DUNLOP"
3,22,Chad Reed,"Dade City, FL",Suzuki RM-Z450,3,5,7,21,Jgrmx/Yoshimura/Factory Suzuki Racing
4,94,Ken Roczen,"Clermont, FL",Honda CRF 450,5,6,5,19,"TEAM HONDA HRC, FOX RACING, RED BULL, STANCE, BREITLING, CANYON BICYCLES, ART OF SPORT"
5,4,Blake Baggett,"Grand Terrace, CA",KTM 450 SX-F Factory Edit,4,11,2,18,Rocky Mountain ATV/MC - KTM - WPS
6,25,Marvin Musquin,"Corona, CA",KTM 450 SX-F Factory Edit,9,4,4,17,"RED BULL, KTM, MOTOREX, AKRAPOVIC, DUNLOP"
7,51,Justin Barcia,"Greenville, FL",Yamaha YZ450F,10,7,3,16,MONSTER ENERGY-YAMAHA FACTORY RACING
8,17,Joey Savatgy,"Tallahassee, FL",Kawasaki KX 450,8,3,11,15,MONSTER ENERGY KAWASAKI
9,10,Justin Brayton,"Mint Hill, NC",Honda CRF 450,2,12,9,14,Smartop Bullfrog Spas Honda
10,16,Zach Osborne,"Abingdon, VA",Husqvarna FC450,11,8,10,13,Rockstar Energy Husqvarna Factory Racing
11,15,Dean Wilson,"Clermont, FL",Husqvarna FC450,7,9,13,12,Rockstar Energy Husqvarna Factory Racing
12,7,Aaron Plessinger,"Hamilton, OH",Yamaha YZ450F,12,10,8,11,MONSTER ENERGY-YAMAHA FACTORY RACING
13,46,Justin Hill,"Yoncalla, OR",Suzuki RM-Z450,13,14,12,10,Jgrmx/Yoshimura/Suzuki Factory Racing
14,43,Tyler Bowers,"Lake Elsinore, CA",Kawasaki KX 450,15,13,14,9,Triggr Racing/Blud Lubricants/AHM Factory Services/Kawasaki
15,111,Chris Blose,"Phoenix, AZ",Husqvarna FC450,16,15,15,8,RJC Racing/ AEO Powersports
16,19,Justin Bogle,"Cushing, OK",KTM 450 SX-F Factory Edit,14,19,17,7,Rocky Mountain ATV/MC - KTM - WPS
17,41,Ben Lamay,"Anchorage, AK",Honda CRF 450,21,16,16,6,TPJ/FLY Racing/LBeardsleyCPA/Xbrand/RTS inc/Race Tech/Devol/Neken/Bills Pipe/Gaerne/GET data/Evs Sports/Ogio/Dubya usa
18,11,Kyle Chisholm,"Valrico, FL",Suzuki RM-Z450,17,21,18,5,H.E.P. Motorsports Suzuki/Mayhem Wheels/Thor/Redline Oil
19,86,Ryan Breece,"Athol, ID",Yamaha YZ450F,18,20,19,4,CycleTrader Rock River YAMAHA
20,805,Carlen Gardner,"Paso Robles, CA",Honda CRF 450,19,17,21,3,BWR I L-Tec I SSI Decals
21,330,Aj Catanzaro,"Reston, VA",Kawasaki KX 450,20,18,20,2,Estate Jewelers/MotoTape
22,71,Cole Martinez,"Rimrock, AZ",Suzuki RM-Z450,22,22,22,1,Leatt/Dunlop/J and j racing/Twisted development/Back yard designs/Dt1 Mika metals/Acerbis/Crankworks/Rekulise Motostuff
