POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,2,Cooper Webb,"Newport, NC",KTM 450 SX-F Factory Edit,23 Laps,0:52.507,"RED BULL, KTM, MOTOREX, AKRAPOVIC, DUNLOP"
2,16,Zach Osborne,"Abingdon, VA",Husqvarna FC450,3.701,0:52.847,Rockstar Energy Husqvarna Factory Racing
3,3,Eli Tomac,"Cortez, CO",Kawasaki KX 450,9.076,0:51.964,MONSTER ENERGY KAWASAKI
4,4,Blake Baggett,"Grand Terrace, CA",KTM 450 SX-F Factory Edit,13.503,0:52.293,Rocky Mountain ATV/MC - KTM - WPS
5,25,Marvin Musquin,"Corona, CA",KTM 450 SX-F Factory Edit,17.802,0:52.497,"RED BULL, KTM, MOTOREX, AKRAPOVIC, DUNLOP"
6,94,Ken Roczen,"Clermont, FL",Honda CRF 450,19.803,0:52.731,"TEAM HONDA HRC, FOX RACING, RED BULL, STANCE, BREITLING, CANYON BICYCLES, ART OF SPORT"
7,17,Joey Savatgy,"Tallahassee, FL",Kawasaki KX 450,34.441,0:52.936,MONSTER ENERGY KAWASAKI
8,33,Joshua Grant,"Wildomar, CA",Yamaha YZ450F,48.760,0:54.063,MONSTER ENERGY-YAMAHA FACTORY RACING
9,14,Cole Seely,"Sherman Oaks, CA",Honda CRF 450,54.375,0:53.081,Team Honda HRC
10,46,Justin Hill,"Yoncalla, OR",Suzuki RM-Z450,22 Laps,0:53.776,Jgrmx/Yoshimura/Suzuki Factory Racing
11,43,Tyler Bowers,"Lake Elsinore, CA",Kawasaki KX 450,7.108,0:54.228,Triggr Racing/Blud Lubricants/AHM Factory Services/Kawasaki
12,11,Kyle Chisholm,"Valrico, FL",Suzuki RM-Z450,11.597,0:55.222,H.E.P. Motorsports Suzuki/Mayhem Wheels/Thor/Redline Oil
13,10,Justin Brayton,"Mint Hill, NC",Honda CRF 450,18.646,0:53.931,Smartop Bullfrog Spas Honda
14,86,Ryan Breece,"Athol, ID",Yamaha YZ450F,21.261,0:55.001,CycleTrader Rock River YAMAHA
15,41,Ben Lamay,"Wasilla,Alaska",Honda CRF 450,25.435,0:55.620,Smartop Bullfrog Spas Honda
16,49,Henry Miller,"Rochester, MN",KTM 450 SX-F,33.403,0:56.017,Stussy construction/R&B car company/FXR/Ownes locker plant/Method pools/Eks goggles/6D helmets/Blud lubricants/FMF/Dirt tricks/Hoosier Tires/Powerband/Guts racing/EVS/Sidi boots/JL photography/Black Diamond graphics/Twin Air/Hinson/Motion Pro/Renthal/Wor
17,60,Justin Starling,"Deland, FL",Husqvarna FC450,37.569,0:56.461,"AJE Motorsports, Premium Motors, The Motoshop Husqvarna"
18,111,Chris Blose,"Phoenix, AZ",Husqvarna FC450,47.125,0:56.088,"RJC Racing, AEO Powersports, AJE Motorsports, Premium Motors"
19,62,Alex Ray,"Milan, TN",Suzuki RM-Z450,21 Laps,0:56.019,H.E.P. Motorsports Suzuki/Thor/Mayhem Wheels/Redline Oil
20,282,Theodore Pauli,"Edwardsville, IL",Kawasaki KX 450,20 Laps,0:57.004,TXS productions. Outlaw Motorsports. Hitch Hotel. Frog Fitness. Moto Hub. St Louis Tattoo. Top Secret Designs. Blud Lubricants. Dedicated Ride Co. FXR. Sic Wicks. Ryno Power. JH2. Route15 Cycles. Arai Helmets. Xtreme Kolors. Goldfren Brakes. As
21,805,Carlen Gardner,"Paso Robles, CA",Honda CRF 450,13.713,0:56.760,BWR - L-Tec - SSI Decals
22,19,Justin Bogle,"Cushing, OK",KTM 450 SX-F Factory Edit,6 Laps,0:53.920,Rocky Mountain ATV/MC - KTM - WPS
