POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,3,Eli Tomac,"Cortez, CO",Kawasaki KX 450,4,-,23,1,26
2,2,Cooper Webb,"Newport, NC",KTM 450 SX-F Factory Edit,6,-,0,2,23
3,25,Marvin Musquin,"Corona, CA",KTM 450 SX-F Factory Edit,9,X,5,3,21
4,19,Justin Bogle,"Cushing, OK",KTM 450 SX-F Factory Edit,1,-,0,4,19
5,17,Joey Savatgy,"Tallahassee, FL",Kawasaki KX 450,8,-,0,5,18
6,4,Blake Baggett,"Grand Terrace, CA",KTM 450 SX-F Factory Edit,5,-,0,6,17
7,94,Ken Roczen,"Clermont, FL",Honda CRF 450,7,-,0,7,16
8,16,Zach Osborne,"Abingdon, VA",Husqvarna FC450,3,-,0,8,15
9,33,Joshua Grant,"Wildomar, CA",Yamaha YZ450F,10,-,0,9,14
10,46,Justin Hill,"Yoncalla, OR",Suzuki RM-Z450,12,-,0,10,13
11,43,Tyler Bowers,"Lake Elsinore, CA",Kawasaki KX 450,13,-,0,11,12
12,41,Ben Lamay,"Anchorage, AK",Honda CRF 450,14,-,0,12,11
13,11,Kyle Chisholm,"Valrico, FL",Suzuki RM-Z450,17,-,0,13,10
14,86,Ryan Breece,"Athol, ID",Yamaha YZ450F,15,-,0,14,9
15,62,Alex Ray,"Milan, TN",Suzuki RM-Z450,19,-,0,15,8
16,805,Carlen Gardner,"Paso Robles, CA",Honda CRF 450,20,-,0,16,7
17,63,John Short,"Pilot Point, TX",Honda CRF 250,21,-,0,17,6
18,224,Charles Lefrancois,"Folligny, France",Suzuki RM-Z450,22,-,0,18,5
19,14,Cole Seely,"Newbury Park, CA",Honda CRF 450,2,-,0,19,4
20,15,Dean Wilson,"Clermont, FL",Husqvarna FC450,11,-,0,20,3
21,99,Austin Politelli,"Murrieta, CA",Honda CRF 450,16,-,0,21,2
